#DB,#Model,#Mment,#Shots,#Temp,#Deviation
Transparent_FB.db,1,Probe 1,90,600.0,0.3216208807940972
Transparent_FB.db,1,Probe 1,91,600.0,0.3218147486699141
Transparent_FB.db,1,Probe 1,92,620.0,0.3784382353200803
Transparent_FB.db,1,Probe 1,93,620.0,0.3787865381918678
Transparent_FB.db,1,Probe 1,94,620.0,0.3787857832177452
Transparent_FB.db,1,Probe 1,95,620.0,0.3773225914716767
Transparent_FB.db,1,Probe 1,96,620.0,0.378745153123686
2_penetration.db,2,Polymer 23386 mit 0.5mm Holes,1,22.0,0.2092201557393924
2_penetration.db,2,Polymer 23386 mit 0.5mm Holes,2,22.0,0.194806175085322
2_penetration.db,2,Polymer 23386 mit 0.5mm Holes,3,22.0,0.1962902571818809
2_penetration.db,2,Polymer 23386 mit 0.5mm Holes,4,22.0,0.1928047592644586
2_penetration.db,2,Polymer 23386 mit 0.5mm Holes,5,22.0,0.1930360346858484
2_penetration.db,2,Poco Graphite 12.7 mm 3mm 0.5mm holes,1,22.0,0.0331543595437566
2_penetration.db,2,Poco Graphite 12.7 mm 3mm 0.5mm holes,2,22.0,0.0309332875441928
2_penetration.db,2,Poco Graphite 12.7 mm 3mm 0.5mm holes,3,22.0,0.0211489073691261
2_penetration.db,2,Poco Graphite 12.7 mm 3mm 0.5mm holes,4,22.0,0.0199277379121208
2_penetration.db,2,Poco Graphite 12.7 mm 3mm 0.5mm holes,5,22.0,0.018025249532158
copper.db,2,Copper_0.5mmt_ZO-50,1,25.0,0.2003671366648304
copper.db,2,Copper_0.5mmt_ZO-50,2,25.0,0.0546395152469693
copper.db,2,Copper_0.5mmt_ZO-50,3,25.0,0.234225237799355
copper.db,2,Copper_0.5mmt_ZO-50,4,25.0,0.0563608957943676
copper.db,2,Copper_0.5mmt_ZO-50,5,25.0,0.0664955118263888
copper.db,2,Copper_0.5mmt_ZO-100,1,25.0,0.2275786704357477
copper.db,2,Copper_0.5mmt_ZO-100,2,25.0,0.2198118865025065
copper.db,2,Copper_0.5mmt_ZO-100,3,25.0,0.0686384856850566
copper.db,2,Copper_0.5mmt_ZO-100,4,25.0,0.2470901483216128
copper.db,2,Copper_0.5mmt_ZO-100,5,25.0,0.1944758713242913
copper.db,2,Copper_0.5mmt,1,25.0,0.0641737487962421
copper.db,2,Copper_0.5mmt,2,25.0,0.0518110423960571
copper.db,2,Copper_0.5mmt,3,25.0,0.2243825987146674
copper.db,2,Copper_0.5mmt,4,25.0,0.0617408467281423
copper.db,2,Copper_0.5mmt,5,25.0,0.2065483048971927
copper.db,2,Copper_0.5mmt_ZO-80,1,25.0,0.0773803503390871
copper.db,2,Copper_0.5mmt_ZO-80,2,25.0,0.2040601645763589
copper.db,2,Copper_0.5mmt_ZO-80,3,25.0,0.251078020224596
copper.db,2,Copper_0.5mmt_ZO-80,4,25.0,0.0585328259188072
copper.db,2,Copper_0.5mmt_ZO-80,5,25.0,0.188212857717489
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),1,100.0,0.0018640198146696
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),2,100.0,0.0028378217377615
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),3,100.0,0.0025490112714341
